n=47 in 0.029839038848876953s: det(A)=0.0 (actual: -0.0; err: -0.0; rel err: nan)
n=48 in 0.031630754470825195s: det(A)=0.0 (actual: -0.0; err: -0.0; rel err: nan)
n=49 in 0.030585050582885742s: det(A)=-0.0 (actual: 0.0; err: 0.0; rel err: nan)
n=50 in 0.0327911376953125s: det(A)=-0.0 (actual: 0.0; err: 0.0; rel err: nan)
n=100 in 0.1324460506439209s: det(A)=-0.0 (actual: -0.0; err: 0.0; rel err: nan)
n=150 in 0.313488245010376s: det(A)=-0.0 (actual: 0.0; err: 0.0; rel err: nan)
n=200 in 0.5792677402496338s: det(A)=0.0 (actual: 0.0; err: 0.0; rel err: nan)
n=250 in 0.8796999454498291s: det(A)=-0.0 (actual: -0.0; err: 0.0; rel err: nan)
n=300 in 1.3115928173065186s: det(A)=0.0 (actual: 0.0; err: 0.0; rel err: nan)
n=350 in 1.7054593563079834s: det(A)=0.0 (actual: 0.0; err: 0.0; rel err: nan)
n=400 in 2.505743980407715s: det(A)=-0.0 (actual: 0.0; err: 0.0; rel err: nan)
n=450 in 3.281104803085327s: det(A)=0.0 (actual: -0.0; err: -0.0; rel err: nan)
n=500 in 3.716226100921631s: det(A)=0.0 (actual: 0.0; err: 0.0; rel err: nan)
n=600 in 5.383373260498047s: det(A)=0.0 (actual: 0.0; err: 0.0; rel err: nan)
n=700 in 7.382370948791504s: det(A)=0.0 (actual: -0.0; err: -0.0; rel err: nan)
n=800 in 9.689263820648193s: det(A)=-0.0 (actual: -0.0; err: 0.0; rel err: nan)
n=900 in 12.411397218704224s: det(A)=-0.0 (actual: -0.0; err: 0.0; rel err: nan)
n=1000 in 15.501549005508423s: det(A)=0.0 (actual: 0.0; err: 0.0; rel err: nan)
n=1250 in 24.913747787475586s: det(A)=-0.0 (actual: -0.0; err: 0.0; rel err: nan)
n=1500 in 36.2978458404541s: det(A)=0.0 (actual: -0.0; err: -0.0; rel err: nan)
n=1750 in 51.34388589859009s: det(A)=-0.0 (actual: 0.0; err: 0.0; rel err: nan)
n=2000 in 67.98137998580933s: det(A)=-0.0 (actual: 0.0; err: 0.0; rel err: nan)
